Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
45;21100939605;"Journal of Language and Sexuality";journal;"22113770, 22113789";"John Benjamins Publishing Company";No;No;0,672;Q1;11;10;33;457;83;33;0,85;45,70;58,33;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"2014, 2019-2026";"Anthropology (Q1); Gender Studies (Q1); Linguistics and Language (Q1)";"Social Sciences"
46;23723;"Journal of Women and Aging";journal;"15407322, 08952841";"Routledge";No;No;0,650;Q1;45;30;138;1619;302;133;2,24;53,97;75,61;0;United States;Northern America;"Routledge";"1989-2026";"Gender Studies (Q1); Geriatrics and Gerontology (Q3)";"Medicine; Social Sciences"
47;7100153131;"International Journal of Sexual Health";journal;"1931762X, 19317611";"Routledge";No;No;0,645;Q1;54;91;143;5538;376;143;2,64;60,86;58,61;0;United States;Northern America;"Routledge";"2007-2026";"Gender Studies (Q1); Dermatology (Q2); Public Health, Environmental and Occupational Health (Q2); Reproductive Medicine (Q2); Social Psychology (Q2)";"Medicine; Psychology; Social Sciences"
48;24359;"Women's Studies International Forum";journal;"02775395";"Elsevier Ltd";No;No;0,635;Q1;81;138;330;9113;992;322;2,80;66,04;67,97;0;United Kingdom;Western Europe;"Elsevier Ltd";"1982-2026";"Gender Studies (Q1); Law (Q1); Sociology and Political Science (Q1); Development (Q2); Education (Q2)";"Social Sciences"
49;700147308;"Feminist Theory";journal;"17412773, 14647001";"SAGE Publications Ltd";No;No;0,634;Q1;57;81;112;3796;298;110;2,31;46,86;86,79;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2026";"Gender Studies (Q1)";"Social Sciences"
50;4700152403;"Journal of Gay and Lesbian Social Services";journal;"15404056, 10538720";"Routledge";No;No;0,632;Q1;51;0;75;0;202;75;2,32;0,00;0,00;0;United States;Northern America;"Routledge";"1994-2023";"Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
51;144966;"Feminist Legal Studies";journal;"15728455, 09663622";"Springer Science and Business Media B.V.";No;No;0,631;Q1;42;30;53;1625;106;39;1,87;54,17;62,96;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1993-2002, 2005-2025";"Gender Studies (Q1)";"Social Sciences"
52;23699;"Hypatia";journal;"08875367, 15272001";"Cambridge University Press";No;No;0,631;Q1;55;84;150;5141;332;145;2,02;61,20;75,00;0;United States;Northern America;"Cambridge University Press";"1986-1999, 2001-2002, 2004, 2006-2007, 2011-2026";"Gender Studies (Q1); Philosophy (Q1)";"Arts and Humanities; Social Sciences"
53;15508;"Journal of General Psychology";journal;"00221309, 19400888";"Taylor and Francis Ltd.";No;No;0,623;Q1;58;40;77;2676;187;77;1,84;66,90;50,74;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1928-1954, 1956-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Experimental and Cognitive Psychology (Q3)";"Arts and Humanities; Psychology; Social Sciences"
54;21100929579;"Secularism and Nonreligion";journal;"20536712";"Ubiquity Press";Yes;No;0,613;Q1;9;6;13;366;22;13;2,00;61,00;33,33;0;United Kingdom;Western Europe;"Ubiquity Press";"2019-2025";"Anthropology (Q1); Gender Studies (Q1); History (Q1); Philosophy (Q1); Religious Studies (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
55;21101209992;"Al-'Adalah";journal;"08541272, 2614171X";"Universitas Islam Negeri Raden Intan Lampung";Yes;Yes;0,606;Q2;7;18;60;998;158;60;3,35;55,44;40,00;0;Indonesia;Asiatic Region;"Universitas Islam Negeri Raden Intan Lampung";"2020-2025";"Law (Q1); Religious Studies (Q1); Gender Studies (Q2)";"Arts and Humanities; Social Sciences"
56;23636;"Gender Issues";journal;"19364717, 1098092X";"Springer New York";No;No;0,602;Q2;40;40;64;2942;207;64;2,59;73,55;60,19;2;United States;Northern America;"Springer New York";"1997-2003, 2005-2026";"Gender Studies (Q2)";"Social Sciences"
57;21568;"Monthly Review";journal;"00270520";"Monthly Review Press";No;No;0,596;Q2;46;54;154;1550;166;120;1,12;28,70;26,67;0;United States;Northern America;"Monthly Review Press";"1977, 1980-1982, 1984, 1987, 1996-2020, 2022-2026";"Gender Studies (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Sociology and Political Science (Q2)";"Environmental Science; Social Sciences"
58;4700152421;"Journal of Lesbian Studies";journal;"15403548, 10894160";"Routledge";No;No;0,578;Q2;44;54;109;1616;159;93;1,44;29,93;81,48;0;United States;Northern America;"Routledge";"1996-2026";"Gender Studies (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
59;23134;"European Journal of Women's Studies";journal;"13505068, 14617420";"SAGE Publications Ltd";No;No;0,567;Q2;62;36;137;1238;261;102;1,76;34,39;87,18;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1994-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q2)";"Arts and Humanities; Social Sciences"
60;26847;"Women and Criminal Justice";journal;"08974454, 15410323";"Routledge";No;No;0,528;Q2;39;56;96;3923;201;95;1,90;70,05;76,39;0;United States;Northern America;"Routledge";"1989-2026";"Law (Q1); Gender Studies (Q2)";"Social Sciences"
61;21100455449;"Porn Studies";journal;"23268743, 23268751";"Taylor and Francis Ltd.";No;No;0,527;Q2;28;81;115;3576;169;94;1,50;44,15;53,06;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2026";"Cultural Studies (Q1); Gender Studies (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
62;23043;"Asian Journal of Women's Studies";journal;"12259276";"Taylor and Francis Ltd.";No;No;0,521;Q2;22;22;68;965;111;64;1,73;43,86;72,41;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Gender Studies (Q2)";"Social Sciences"
63;23641;"Gender, Technology and Development";journal;"09718524, 09730656";"Routledge";No;No;0,513;Q2;37;22;69;1326;184;68;1,71;60,27;62,50;0;United Kingdom;Western Europe;"Routledge";"1997-2026";"Development (Q2); Gender Studies (Q2)";"Social Sciences"
64;15418;"Women and Therapy";journal;"02703149, 15410315";"Routledge";No;No;0,485;Q2;42;25;70;1436;120;64;1,54;57,44;83,08;0;United States;Northern America;"Routledge";"1982-2026";"Gender Studies (Q2); Psychology (miscellaneous) (Q3)";"Psychology; Social Sciences"
65;21100901675;"Women in Sport and Physical Activity Journal";journal;"10636161, 19381581";"Human Kinetics Publishers Inc.";No;No;0,472;Q2;18;49;86;2662;142;82;1,71;54,33;62,12;0;United States;Northern America;"Human Kinetics Publishers Inc.";"2018-2026";"Education (Q2); Gender Studies (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)";"Health Professions; Social Sciences"
