Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
44;19089;"Government and Opposition";journal;"0017257X, 14777053";"Cambridge University Press";Yes;No;2,172;Q1;71;72;143;5453;802;143;4,39;75,74;42,52;7;United Kingdom;Western Europe;"Cambridge University Press";"1965-2026";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
45;18405;"Educational Technology and Society";journal;"11763647, 14364522";"International Forum of Educational Technology and Society,National Taiwan Normal University";Yes;Yes;2,109;Q1;125;93;183;6467;1750;179;8,94;69,54;47,69;0;Taiwan;Asiatic Region;"International Forum of Educational Technology and Society,National Taiwan Normal University";"1998-2026";"Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Engineering; Social Sciences"
46;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";"Academic Press";No;No;2,100;Q1;97;38;216;3748;1217;206;5,37;98,63;63,16;0;United States;Northern America;"Academic Press";"1990-2026";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
47;25772;"International Affairs";journal;"14682346, 00205850";"Wiley-Blackwell";No;No;2,097;Q1;113;104;314;9818;1822;307;5,75;94,40;45,10;8;United Kingdom;Western Europe;"Wiley-Blackwell";"1979-1986, 1988-1989, 1996-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
48;110031;"Resources Policy";journal;"03014207";"Elsevier Ltd";No;No;2,050;Q1;154;260;2647;19926;24946;2644;9,31;76,64;29,15;10;United Kingdom;Western Europe;"Elsevier Ltd";"1974-2026";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
49;30060;"World Development";journal;"0305750X, 18735991";"Elsevier B.V.";No;No;2,027;Q1;249;315;810;24526;5576;806;6,27;77,86;40,02;45;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2026";"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
50;21100835891;"Journal of Experimental Political Science";journal;"20522630, 20522649";"Cambridge University Press";Yes;No;2,016;Q1;30;46;102;1649;467;100;3,34;35,85;30,83;0;United Kingdom;Western Europe;"Cambridge University Press";"2014-2025";"Sociology and Political Science (Q1)";"Social Sciences"
51;35048;"Food Policy";journal;"03069192";"Elsevier B.V.";No;No;2,011;Q1;154;157;373;11184;3055;371;7,08;71,24;43,24;22;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2026";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
52;22890;"Political Studies";journal;"00323217, 14679248";"SAGE Publications Ltd";No;No;1,989;Q1;117;140;199;10570;1132;197;5,73;75,50;30,42;14;United Kingdom;Western Europe;"SAGE Publications Ltd";"1953-2026";"Sociology and Political Science (Q1)";"Social Sciences"
53;16192;"Media, Culture and Society";journal;"01634437, 14603675";"SAGE Publications Ltd";No;No;1,957;Q1;100;115;313;5575;1743;310;4,93;48,48;57,89;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2026";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
