Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
66;21100933830;"Estudios Fronterizos";journal;"23959134";"Universidad Autonoma de Baja California";Yes;Yes;0,303;Q2;10;17;76;1028;70;74;0,90;60,47;36,67;0;Mexico;Latin America;"Universidad Autonoma de Baja California";"2019-2025";"History (Q1); Anthropology (Q2); Demography (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
67;16902;"Labour";journal;"11217081, 14679914";"John Wiley and Sons Inc";No;No;0,292;Q2;43;16;60;762;57;60;1,00;47,63;40,54;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1987-2026";"History (Q1); Demography (Q2); Geography, Planning and Development (Q3); Industrial Relations (Q3); Organizational Behavior and Human Resource Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
68;40309;"Population";journal;"19589190, 16342941";"Institut National d'Etudes Demographiques";Yes;Yes;0,292;Q2;40;0;17;0;18;17;0,00;0,00;0,00;0;France;Western Europe;"Institut National d'Etudes Demographiques";"1946-1947, 1973-2022";"Demography (Q2)";"Social Sciences"
69;4700152718;"Adoption Quarterly";journal;"10926755, 1544452X";"Routledge";No;No;0,286;Q2;40;48;59;2888;65;58;1,14;60,17;77,04;1;United States;Northern America;"Routledge";"1997-2026";"Demography (Q2); Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
70;21101182773;"Economics and Culture";journal;"22557563, 22560173";"Sciendo";Yes;Yes;0,273;Q3;7;22;65;1018;106;65;1,91;46,27;52,08;0;Germany;Western Europe;"Sciendo";"2022-2025";"Law (Q2); Social Sciences (miscellaneous) (Q2); Business, Management and Accounting (miscellaneous) (Q3); Demography (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
71;25817;"Journal of Divorce and Remarriage";journal;"10502556, 15404811";"Routledge";No;No;0,273;Q3;41;0;43;0;59;42;1,00;0,00;0,00;0;United States;Northern America;"Routledge";"1990-2023";"Law (Q2); Demography (Q3)";"Social Sciences"
72;21100940341;"Anthropology and Aging";journal;"23742267";"University Library System, University of Pittsburgh";Yes;Yes;0,272;Q3;8;4;46;97;42;40;0,91;24,25;75,00;0;United States;Northern America;"University Library System, University of Pittsburgh";"2013, 2019-2025";"Anthropology (Q2); Demography (Q3); Geriatrics and Gerontology (Q4); Life-span and Life-course Studies (Q4)";"Medicine; Social Sciences"
73;21100197733;"Ager";journal;"23404655, 15787168";"CEDDAR";No;No;0,266;Q3;17;11;52;519;37;51;0,68;47,18;34,62;0;Spain;Western Europe;"CEDDAR";"2009-2025";"Anthropology (Q2); Demography (Q3); Development (Q3); Geography, Planning and Development (Q3)";"Social Sciences"
74;21100842666;"Caucasus Survey";journal;"23761199, 23761202";"Brill Academic Publishers";No;No;0,260;Q3;15;16;42;812;32;42;0,96;50,75;57,14;0;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2026";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
75;15311;"Immigrants and Minorities";journal;"02619288, 17440521";"Routledge";No;No;0,259;Q3;23;22;30;1131;32;28;0,12;51,41;37,04;0;United Kingdom;Western Europe;"Routledge";"1982-2026";"History (Q1); Demography (Q3)";"Arts and Humanities; Social Sciences"
